Data;a_vista_real;a_vista_dolar
13/06/2018;58;15,6
14/06/2018;57,75;15,21
15/06/2018;58;15,58
18/06/2018;58,5;15,61
19/06/2018;58,31;15,58
20/06/2018;57,39;15,19
21/06/2018;57,31;15,21
22/06/2018;58,19;15,41
25/06/2018;58,94;15,58
26/06/2018;58,33;15,36
27/06/2018;58,79;15,26
28/06/2018;58,26;15,09
29/06/2018;58,4;15,07
02/07/2018;58,54;14,97
03/07/2018;58,23;14,96
04/07/2018;57,85;14,79
05/07/2018;57,9;14,72
06/07/2018;57,08;14,61
10/07/2018;56,68;14,92
11/07/2018;56,17;14,48
12/07/2018;55,64;14,32
13/07/2018;55,33;14,36
16/07/2018;54,36;14,08
17/07/2018;54,45;14,18
18/07/2018;54,55;14,23
19/07/2018;53,82;13,92
20/07/2018;53,84;14,24
23/07/2018;53,43;14,11
24/07/2018;53,55;14,3
25/07/2018;53,89;14,54
26/07/2018;54,23;14,5
27/07/2018;52,7;14,19
30/07/2018;52,79;14,16
31/07/2018;52,31;13,93
01/08/2018;51,29;13,66
02/08/2018;50,55;13,46
03/08/2018;50,77;13,7
06/08/2018;51,55;13,82
07/08/2018;50,54;13,43
08/08/2018;50,1;13,29
09/08/2018;50,77;13,36
10/08/2018;50,79;13,17
13/08/2018;50,56;12,96
14/08/2018;50;12,93
15/08/2018;50,25;12,88
16/08/2018;49,84;12,77
17/08/2018;49,8;12,71
20/08/2018;50,54;12,77
21/08/2018;50,17;12,47
22/08/2018;51;12,57
23/08/2018;51,77;12,58
24/08/2018;52,45;12,78
27/08/2018;53,07;12,99
28/08/2018;53,78;12,98
29/08/2018;54,65;13,27
30/08/2018;54,59;13,12
31/08/2018;55,47;13,64
03/09/2018;56,1;13,52
04/09/2018;56,59;13,62
05/09/2018;57,43;13,9
06/09/2018;57,65;14,01
10/09/2018;58,83;14,37
11/09/2018;59,43;14,29
12/09/2018;59,5;14,35
13/09/2018;60,71;14,46
14/09/2018;61,61;14,79
17/09/2018;63,19;15,34
18/09/2018;63,04;15,26
19/09/2018;63,11;15,3
20/09/2018;62,67;15,37
21/09/2018;62,17;15,39
24/09/2018;61,86;15,15
25/09/2018;61,91;15,16
26/09/2018;62,3;15,48
27/09/2018;62,35;15,64
28/09/2018;62,63;15,49
01/10/2018;61,79;15,37
02/10/2018;61,54;15,66
03/10/2018;61,69;15,83
04/10/2018;62,27;16
05/10/2018;63,11;16,33
08/10/2018;63,12;16,78
09/10/2018;63,27;17,05
10/10/2018;63,6;16,92
11/10/2018;63,63;16,88
15/10/2018;64,47;17,26
16/10/2018;64,23;17,27
17/10/2018;64,07;17,4
18/10/2018;65,51;17,66
